"Date","BTC Market Cap","ETH Market Cap","Top 10 (Without BTC & ETH)","Others"
"2019-08-16","183808182261.62988","20166571469.133984","37316130676.742876","22427556823.41826"
"2019-08-17","184635409004.2465","19875538705.637814","36808610520.012286","22148389965.6224"
"2019-08-18","182893178091.06567","19947175522.901073","36833581149.399557","22097650060.2177"
"2019-08-19","184381498343.8289","20870523158.477386","38264121720.888634","22747988939.53108"
"2019-08-20","194884121164.64297","21805354686.68139","38864112719.56788","23098925395.11976"
"2019-08-21","192182485883.75177","21099092813.884506","37854063620.519154","22739383455.28957"
"2019-08-22","181094936743.7679","20090814029.40346","36654166367.84869","21850222162.09795"
"2019-08-23","181311699889.67206","20579733353.237606","37335449631.475774","22427286038.56856"
"2019-08-24","187878412535.86255","20886288389.848602","37801158976.122768","22696402985.02808"
"2019-08-25","181764456091.20227","20497351303.834663","36992593024.993497","22683267813.84257"
"2019-08-26","180491202154.3331","20024597154.008755","36782409581.139865","22481602607.66328"
"2019-08-27","184989701185.5528","20251623745.88952","36971669895.23828","22623553274.9264"
"2019-08-28","181891056658.03235","20099329728.45356","36786540419.17123","22195906374.29586"
"2019-08-29","174174790993.24042","18598885730.967613","34715355136.762427","20776874060.79854"
"2019-08-30","169825879929.63724","18182244936.177788","33955483317.098242","19898467919.65273"
"2019-08-31","171703455568.1713","18137815999.552658","34124913243.524272","19981617597.90877"
"2019-09-01","172069023390.1022","18507223778.142094","34136940722.065646","20023184017.40306"
"2019-09-02","174169160998.9338","18351207184.536457","34219937114.572713","19934656221.93803"
"2019-09-03","184367332385.84335","19113080684.062847","34959781062.389503","20560914313.8293"
"2019-09-04","190297653628.6036","19324838795.229195","35446544472.683345","20644411262.12086"
"2019-09-05","189378108188.9303","18790062457.39357","34718637121.22093","20236769410.8572"
"2019-09-06","189354988380.25543","18756294625.6701","34583223794.83547","20187747548.244"
"2019-09-07","185513074361.89188","18244685096.248436","34170609057.017284","19705722482.3344"
"2019-09-08","187490153206.3296","19145726416.543644","35445633106.722486","20148532581.11427"
"2019-09-09","186487925900.29575","19532846873.76019","36027596769.09942","20486715940.12364"
"2019-09-10","185101736449.4789","19501252636.159073","35888349932.250577","20452664562.92745"
"2019-09-11","181228983504.8709","19398770840.28421","35646109815.87461","20132861267.97928"
"2019-09-12","182006412816.34204","19174005533.27935","34941883119.42491","19848594341.5007"
"2019-09-13","186490286819.08597","19496200878.17006","34911023876.28407","20007363161.1519"
"2019-09-14","185791118116.52597","19522068957.29138","34901453978.82077","19916178358.70988"
"2019-09-15","185709926005.05557","20297648872.897217","35766946227.659813","20126868756.8804"
"2019-09-16","184860740267.84445","20389680178.128475","35624623185.316355","20171841249.58072"
"2019-09-17","184216635305.296","21223483200.061485","35876181582.398095","20163384585.82342"
"2019-09-18","183148194810.27164","22573128316.388668","37550166986.920352","20992257784.13834"
"2019-09-19","182304851001.81525","22689784462.139828","39234941114.504672","22243637358.20125"
"2019-09-20","183793185092.94284","23838258551.56916","38579090608.39486","22033471201.73714"
"2019-09-21","182621118150.38165","23468933218.644382","37934781605.937348","21708050403.34062"
"2019-09-22","179541584400.57428","23241002834.289497","37451117607.669943","21450347490.75428"
"2019-09-23","180261864537.87436","22812625864.180454","36508327512.483486","20985140382.3477"
"2019-09-24","174073117682.94675","21659224040.642677","34868838305.798673","20026541754.0339"
"2019-09-25","158225996381.2368","18418924820.330776","29965860533.804804","17872279844.76662"
"2019-09-26","151968918856.4794","18387961477.667904","30114396176.462556","17733233882.26314"
"2019-09-27","145450672156.79562","18012013650.053577","29397859246.046903","17362003435.2909"
"2019-09-28","147034755881.78366","18764435751.517056","29583817730.224244","17663474352.00304"
"2019-09-29","147518938470.12482","18778305331.488625","29703505263.027725","17862195092.48383"
"2019-09-30","144886125387.55658","18340364798.35873","29129335750.26557","17272032215.76612"
"2019-10-01","148699326425.13895","19371744530.934284","30510844817.530126","18004095540.21564"
"2019-10-02","150346803070.61414","19506079956.197968","30444590318.175532","18326568446.92836"
"2019-10-03","150093691781.89334","19515449012.870743","30429516740.304767","18329038341.13815"
"2019-10-04","146959035399.77228","19083597997.072533","30387067022.198737","18220348673.83045"
"2019-10-05","146603545122.07248","19013321261.257965","30264257830.385855","18160619830.2107"
"2019-10-06","146326858013.4359","19009613625.563313","30336531336.589187","18290014967.8756"
"2019-10-07","141846566055.1005","18414715905.660275","29991978605.731525","17855707681.5647"
"2019-10-08","147113201630.43686","19492030354.883118","31836979276.201922","18655912967.1031"
"2019-10-09","147101302074.693","19537703569.993225","31827148649.083335","18961539209.73744"
"2019-10-10","154173400068.15204","20896473661.552616","32836040439.539184","19568353817.10416"
"2019-10-11","153974523119.16272","20655168596.9981","31916699116.04548","19402378538.7877"
"2019-10-12","148684409190.17136","19490975562.25558","31098570846.71814","18828953410.65392"
"2019-10-13","149460560799.4891","19456204702.653095","31559443524.078355","18834225553.67745"
"2019-10-14","149295847366.54712","19636637034.909355","32042587471.727145","18933586927.06038"
"2019-10-15","150188449071.35995","20182332549.589005","33050343431.870805","19468014825.37124"
"2019-10-16","147132917995.71127","19551821811.16607","32297055626.15193","18922200445.20373"
"2019-10-17","144153894666.31094","18931847830.822693","32404165081.110447","18522058932.65392"
"2019-10-18","145395122717.3465","19185722528.28324","33548151754.20791","18942823753.91935"
"2019-10-19","143241128773.44717","18701016660.84209","32954887593.32320","18471333826.67454"
"2019-10-20","143016860664.09183","18584020382.348053","32790460712.083317","18348764153.3068"
"2019-10-21","147845092519.85434","18941808902.195774","33374186594.833616","18703060951.24927"
